pair_id,nb_classes_v1,nb_classes_v2,delta_classes,nb_added_classes,nb_removed_classes,nb_attributes_v1,nb_attributes_v2,delta_attributes,nb_added_attributes,nb_removed_attributes,nb_type_changes,nb_references_v1,nb_references_v2,delta_references,nb_added_references,nb_removed_references,nb_multiplicity_changes,nb_containment_changes,nb_abstract_changes,nb_supertype_changes,nsuri_changed,label
add_attribute2__add_attribute2_v1__to__add_attribute2_v2,1,1,0,0,0,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
add_attribute3__add_attribute3_v1__to__add_attribute3_v2,1,1,0,0,0,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
add_attribute4__add_attribute4_v1__to__add_attribute4_v2,1,1,0,0,0,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
add_attribute__add_attribute_v1__to__add_attribute_v2,1,1,0,0,0,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
add_eclass2__add_eclass2_v1__to__add_eclass2_v2,1,3,2,2,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
add_eclass3__add_eclass3_v1__to__add_eclass3_v2,1,3,2,2,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
add_eclass4__add_eclass4_v1__to__add_eclass4_v2,1,3,2,2,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
add_eclass5__add_eclass5_v1__to__add_eclass5_v2,1,4,3,3,0,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
add_eclass__add_eclass_v1__to__add_eclass_v2,1,3,2,2,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
add_reference2__add_reference2_v1__to__add_reference2_v2,2,2,0,0,0,2,2,0,0,0,0,0,3,3,3,0,0,0,0,0,0,MIXED
add_reference3__add_reference3_v1__to__add_reference3_v2,2,2,0,0,0,2,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,MIXED
add_reference4__add_reference4_v1__to__add_reference4_v2,3,3,0,0,0,4,4,0,0,0,0,0,4,4,4,0,0,0,0,0,0,MIXED
add_reference__add_reference_v1__to__add_reference_v2,2,2,0,0,0,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,MIXED
add_supertype2__add_supertype2_v1__to__add_supertype2_v2,3,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,MIXED
add_supertype3__add_supertype3_v1__to__add_supertype3_v2,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,MIXED
add_supertype4__add_supertype4_v1__to__add_supertype4_v2,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,MIXED
add_supertype__add_supertype_v1__to__add_supertype_v2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,MIXED
change_abstract2__change_abstract2_v1__to__change_abstract2_v2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MIXED
change_abstract3__change_abstract3_v1__to__change_abstract3_v2,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MIXED
